time,V(vin),V(vo1),V(vs),V(vout)
0.000000000000000e+00,2.094883e-13,3.029357e+00,0.000000e+00,2.391396e-14
4.882812557061023e-11,1.102594e-05,3.029361e+00,6.135923e-08,4.718682e-06
9.765625114122045e-11,2.113722e-05,3.029365e+00,1.227185e-07,8.731304e-06
1.953125022824409e-10,3.805806e-05,3.029370e+00,2.454369e-07,1.492295e-05
3.906250045648818e-10,6.191037e-05,3.029377e+00,4.908738e-07,2.180340e-05
7.812500091297636e-10,8.652196e-05,3.029376e+00,9.817477e-07,2.304504e-05
1.562500018259527e-09,9.870174e-05,3.029358e+00,1.963495e-06,6.640420e-06
3.125000036519054e-09,8.939477e-05,3.029310e+00,3.926991e-06,-3.752880e-05
6.250000073038109e-09,6.503001e-05,3.029239e+00,7.853982e-06,-1.052145e-04
1.250000014607622e-08,3.997220e-05,3.029166e+00,1.570796e-05,-1.737841e-04
2.500000029215244e-08,2.490809e-05,3.029121e+00,3.141593e-05,-2.159763e-04
5.000000058430487e-08,2.288208e-05,3.029105e+00,6.283185e-05,-2.318365e-04
1.000000011686097e-07,3.214865e-05,3.029068e+00,1.256637e-04,-2.675334e-04
2.000000023372195e-07,6.458980e-05,3.028901e+00,2.513271e-04,-4.281867e-04
4.000000046744390e-07,1.645262e-04,3.028336e+00,5.026527e-04,-9.726196e-04
8.000000093488779e-07,4.284156e-04,3.026782e+00,1.005293e-03,-2.468258e-03
1.600000018697756e-06,1.030727e-03,3.023189e+00,2.010484e-03,-5.927450e-03
5.641406287395512e-06,4.193143e-03,3.004356e+00,7.083264e-03,-2.404070e-02
1.052421878739551e-05,8.006413e-03,2.981887e+00,1.318660e-02,-4.562043e-02
1.540703128739551e-05,1.179275e-02,2.959858e+00,1.924031e-02,-6.674046e-02
2.273125003739551e-05,1.739061e-02,2.927815e+00,2.817805e-02,-9.739300e-02
3.005546878739551e-05,2.284839e-02,2.897202e+00,3.687726e-02,-1.265940e-01
3.737968753739551e-05,2.811987e-02,2.868268e+00,4.526429e-02,-1.541102e-01
4.470390628739551e-05,3.316040e-02,2.841248e+00,5.326815e-02,-1.797244e-01
5.202812503739552e-05,3.792731e-02,2.816362e+00,6.082109e-02,-2.032368e-01
5.935234378739553e-05,4.238024e-02,2.793810e+00,6.785917e-02,-2.244678e-01
6.667656253739553e-05,4.648145e-02,2.773775e+00,7.432280e-02,-2.432582e-01
7.783727682310983e-05,5.211250e-02,2.748160e+00,8.314959e-02,-2.670944e-01
8.899799110882412e-05,5.658297e-02,2.729626e+00,9.011017e-02,-2.842586e-01
1.001587053945384e-04,5.989284e-02,2.718173e+00,9.520455e-02,-2.947508e-01
1.113194196802527e-04,6.204214e-02,2.713801e+00,9.843272e-02,-2.985712e-01
1.224801339659670e-04,6.303085e-02,2.716511e+00,9.979469e-02,-2.957196e-01
1.336408482516813e-04,6.285897e-02,2.726302e+00,9.929046e-02,-2.861960e-01
1.448015625373956e-04,6.152651e-02,2.743174e+00,9.692003e-02,-2.700005e-01
1.510794643231099e-04,6.016716e-02,2.755827e+00,9.462033e-02,-2.579279e-01
1.573573661088242e-04,5.846943e-02,2.770184e+00,9.178596e-02,-2.442207e-01
1.636352678945384e-04,5.643334e-02,2.786246e+00,8.841692e-02,-2.288791e-01
1.699131696802528e-04,5.405887e-02,2.804012e+00,8.451321e-02,-2.119030e-01
1.761910714659671e-04,5.134603e-02,2.823482e+00,8.007484e-02,-1.932923e-01
1.824689732516813e-04,4.829482e-02,2.844657e+00,7.510181e-02,-1.730472e-01
1.887468750373956e-04,4.490525e-02,2.867536e+00,6.959410e-02,-1.511676e-01
1.960710937873956e-04,4.064835e-02,2.895411e+00,6.269956e-02,-1.244614e-01
2.033953125373956e-04,3.605082e-02,2.924716e+00,5.527427e-02,-9.635268e-02
2.107195312873956e-04,3.115137e-02,2.955190e+00,4.738106e-02,-6.708943e-02
2.156023437873956e-04,2.773762e-02,2.976022e+00,4.189183e-02,-4.706656e-02
2.180437500373956e-04,2.599127e-02,2.986563e+00,3.908677e-02,-3.693032e-02
2.229265625373957e-04,2.242783e-02,3.007841e+00,3.336896e-02,-1.645816e-02
2.253679687873957e-04,2.061407e-02,3.018558e+00,3.046160e-02,-6.142388e-03
2.278093750373957e-04,1.878121e-02,3.029312e+00,2.752556e-02,4.212974e-03
2.305995536088242e-04,1.665873e-02,3.041676e+00,2.412793e-02,1.612123e-02
2.333897321802528e-04,1.452275e-02,3.054020e+00,2.071121e-02,2.801445e-02
2.361799107516814e-04,1.237330e-02,3.066345e+00,1.727540e-02,3.989262e-02
2.389700893231100e-04,1.021035e-02,3.078652e+00,1.382049e-02,5.175574e-02
2.417602678945385e-04,8.033921e-03,3.090940e+00,1.034650e-02,6.360382e-02
2.445504464659671e-04,5.844006e-03,3.103209e+00,6.853419e-03,7.543685e-02
2.473406250373957e-04,3.640604e-03,3.115459e+00,3.341247e-03,8.725484e-02
2.501308036088242e-04,1.433010e-03,3.127635e+00,-1.751086e-04,9.900310e-02
2.529209821802528e-04,-7.692338e-04,3.139685e+00,-3.680516e-03,1.106315e-01
2.557111607516814e-04,-2.966127e-03,3.151609e+00,-7.174976e-03,1.221400e-01
2.585013393231100e-04,-5.157669e-03,3.163408e+00,-1.065849e-02,1.335287e-01
2.612915178945385e-04,-7.343859e-03,3.175081e+00,-1.413105e-02,1.447975e-01
2.640816964659671e-04,-9.524700e-03,3.186629e+00,-1.759267e-02,1.559464e-01
2.668718750373957e-04,-1.170019e-02,3.198052e+00,-2.104334e-02,1.669754e-01
2.721034598588242e-04,-1.576590e-02,3.219118e+00,-2.748509e-02,1.873198e-01
2.773350446802529e-04,-1.972083e-02,3.239266e+00,-3.374286e-02,2.067726e-01
2.825666295016814e-04,-2.356499e-02,3.258496e+00,-3.981663e-02,2.253339e-01
2.877982143231100e-04,-2.729837e-02,3.276809e+00,-4.570642e-02,2.430036e-01
2.930297991445386e-04,-3.092097e-02,3.294203e+00,-5.141222e-02,2.597819e-01
2.982613839659672e-04,-3.443280e-02,3.310680e+00,-5.693404e-02,2.756685e-01
3.034929687873957e-04,-3.783385e-02,3.326240e+00,-6.227186e-02,2.906637e-01
3.122122768231100e-04,-4.317504e-02,3.349613e+00,-7.062876e-02,3.131572e-01
3.209315848588243e-04,-4.787579e-02,3.369006e+00,-7.795544e-02,3.317665e-01
3.296508928945386e-04,-5.193612e-02,3.384420e+00,-8.425189e-02,3.464916e-01
3.383702009302529e-04,-5.535602e-02,3.395853e+00,-8.951811e-02,3.573325e-01
3.470895089659672e-04,-5.813549e-02,3.403305e+00,-9.375410e-02,3.642892e-01
3.558088170016815e-04,-6.027453e-02,3.406778e+00,-9.695987e-02,3.673617e-01
3.645281250373958e-04,-6.177314e-02,3.406271e+00,-9.913541e-02,3.665500e-01
3.732474330731101e-04,-6.239314e-02,3.400803e+00,-9.991027e-02,3.608898e-01
3.819667411088244e-04,-6.229031e-02,3.391525e+00,-9.953867e-02,3.515403e-01
3.906860491445387e-04,-6.146463e-02,3.378437e+00,-9.802060e-02,3.385016e-01
3.994053571802530e-04,-5.991611e-02,3.361538e+00,-9.535606e-02,3.217737e-01
4.081246652159673e-04,-5.764476e-02,3.340828e+00,-9.154504e-02,3.013565e-01
4.168439732516816e-04,-5.465057e-02,3.316308e+00,-8.658756e-02,2.772501e-01
4.255632812873958e-04,-5.093353e-02,3.287978e+00,-8.048362e-02,2.494544e-01
4.307948661088244e-04,-4.840820e-02,3.269651e+00,-7.635828e-02,2.315150e-01
4.360264509302530e-04,-4.570474e-02,3.250553e+00,-7.195418e-02,2.128509e-01
4.412580357516815e-04,-4.282318e-02,3.230683e+00,-6.727130e-02,1.934621e-01
4.464896205731102e-04,-3.976349e-02,3.210042e+00,-6.230966e-02,1.733484e-01
4.517212053945387e-04,-3.652570e-02,3.188630e+00,-5.706924e-02,1.525100e-01
4.569527902159673e-04,-3.310978e-02,3.166447e+00,-5.155005e-02,1.309469e-01
4.621843750373959e-04,-2.951575e-02,3.143492e+00,-4.575209e-02,1.086590e-01
4.646257812873959e-04,-2.780566e-02,3.132697e+00,-4.299626e-02,9.819116e-02
4.670671875373959e-04,-2.607350e-02,3.121840e+00,-4.020663e-02,8.766999e-02
4.695085937873959e-04,-2.431925e-02,3.110920e+00,-3.738319e-02,7.709551e-02
4.719500000373959e-04,-2.254293e-02,3.099937e+00,-3.452594e-02,6.646772e-02
4.743914062873959e-04,-2.074453e-02,3.088892e+00,-3.163488e-02,5.578661e-02
4.768328125373959e-04,-1.892405e-02,3.077784e+00,-2.871001e-02,4.505219e-02
4.792742187873959e-04,-1.708150e-02,3.066613e+00,-2.575133e-02,3.426446e-02
4.817156250373959e-04,-1.522704e-02,3.055441e+00,-2.277518e-02,2.348434e-02
4.865984375373959e-04,-1.147678e-02,3.033060e+00,-1.676141e-02,1.912054e-03
4.914812500373958e-04,-7.683165e-03,3.010698e+00,-1.068454e-02,-1.960782e-02
4.988054687873957e-04,-1.942718e-03,2.977376e+00,-1.501036e-03,-5.161012e-02
5.019444196802527e-04,5.350046e-04,2.963182e+00,2.458426e-03,-6.521636e-02
5.050833705731099e-04,3.002443e-03,2.949159e+00,6.398825e-03,-7.864347e-02
5.082223214659669e-04,5.459596e-03,2.935307e+00,1.032016e-02,-9.189147e-02
5.113612723588240e-04,7.906465e-03,2.921626e+00,1.422244e-02,-1.049603e-01
5.145002232516810e-04,1.034305e-02,2.908115e+00,1.810565e-02,-1.178501e-01
5.176391741445382e-04,1.276935e-02,2.894775e+00,2.196980e-02,-1.305607e-01
5.207781250373952e-04,1.518536e-02,2.881606e+00,2.581489e-02,-1.430922e-01
5.263584821802522e-04,1.945128e-02,2.858655e+00,3.259704e-02,-1.648803e-01
5.319388393231093e-04,2.357363e-02,2.836844e+00,3.914199e-02,-1.855430e-01
5.375191964659663e-04,2.755242e-02,2.816173e+00,4.544973e-02,-2.050802e-01
5.430995536088233e-04,3.138763e-02,2.796642e+00,5.152025e-02,-2.234920e-01
5.486799107516804e-04,3.507928e-02,2.778250e+00,5.735357e-02,-2.407783e-01
5.542602678945374e-04,3.862735e-02,2.760999e+00,6.294968e-02,-2.569392e-01
5.598406250373944e-04,4.203186e-02,2.744888e+00,6.830858e-02,-2.719746e-01
5.692574777159656e-04,4.734128e-02,2.721027e+00,7.663430e-02,-2.940909e-01
5.786743303945369e-04,5.186553e-02,2.702092e+00,8.369368e-02,-3.115795e-01
5.880911830731081e-04,5.560460e-02,2.688081e+00,8.948672e-02,-3.244406e-01
5.975080357516794e-04,5.855849e-02,2.678994e+00,9.401341e-02,-3.326740e-01
6.069248884302505e-04,6.072721e-02,2.674832e+00,9.727377e-02,-3.362798e-01
6.163417411088217e-04,6.211075e-02,2.675595e+00,9.926778e-02,-3.352580e-01
6.257585937873930e-04,6.270911e-02,2.681282e+00,9.999546e-02,-3.296086e-01
6.334315848588214e-04,6.243565e-02,2.690219e+00,9.937274e-02,-3.210535e-01
6.411045759302498e-04,6.161710e-02,2.702029e+00,9.788516e-02,-3.097724e-01
6.487775670016782e-04,6.025348e-02,2.716710e+00,9.553274e-02,-2.957650e-01
6.564505580731067e-04,5.834477e-02,2.734264e+00,9.231546e-02,-2.790316e-01
6.641235491445350e-04,5.589099e-02,2.754689e+00,8.823333e-02,-2.595721e-01
6.717965402159634e-04,5.289212e-02,2.777987e+00,8.328635e-02,-2.373864e-01
6.794695312873918e-04,4.934818e-02,2.804157e+00,7.747452e-02,-2.124747e-01
6.840035714659632e-04,4.704461e-02,2.820521e+00,7.371338e-02,-1.968571e-01
6.885376116445345e-04,4.460938e-02,2.837434e+00,6.974717e-02,-1.807002e-01
6.930716518231059e-04,4.204249e-02,2.854895e+00,6.557586e-02,-1.640041e-01
6.976056920016771e-04,3.934392e-02,2.872903e+00,6.119948e-02,-1.467687e-01
7.021397321802485e-04,3.651370e-02,2.891460e+00,5.661801e-02,-1.289940e-01
7.066737723588198e-04,3.355181e-02,2.910565e+00,5.183146e-02,-1.106800e-01
7.112078125373912e-04,3.045826e-02,2.930218e+00,4.683983e-02,-9.182682e-02
7.133004464659626e-04,2.900422e-02,2.939349e+00,4.449636e-02,-8.306044e-02
7.153930803945340e-04,2.753268e-02,2.948529e+00,4.212627e-02,-7.424530e-02
7.174857143231054e-04,2.604365e-02,2.957756e+00,3.972957e-02,-6.538141e-02
7.195783482516766e-04,2.453710e-02,2.967030e+00,3.730626e-02,-5.646877e-02
7.216709821802480e-04,2.301306e-02,2.976353e+00,3.485632e-02,-4.750736e-02
7.237636161088194e-04,2.147151e-02,2.985723e+00,3.237977e-02,-3.849720e-02
7.258562500373908e-04,1.991246e-02,2.995141e+00,2.987660e-02,-2.943829e-02
7.331804687873907e-04,1.436343e-02,3.028197e+00,2.097903e-02,2.378927e-03
7.356218750373906e-04,1.247981e-02,3.039261e+00,1.796277e-02,1.303456e-02
7.380632812873906e-04,1.058888e-02,3.050290e+00,1.493676e-02,2.365980e-02
7.405046875373905e-04,8.690621e-03,3.061285e+00,1.190099e-02,3.425465e-02
7.429460937873905e-04,6.785049e-03,3.072245e+00,8.855460e-03,4.481910e-02
7.453875000373904e-04,4.872158e-03,3.083172e+00,5.800171e-03,5.535316e-02
7.478289062873904e-04,2.951950e-03,3.094064e+00,2.735123e-03,6.585683e-02
7.502703125373903e-04,1.024424e-03,3.104922e+00,-3.396841e-04,7.633011e-02
7.537580357516759e-04,-1.737158e-03,3.120343e+00,-4.741549e-03,9.120882e-02
7.572457589659616e-04,-4.482364e-03,3.135520e+00,-9.113485e-03,1.058540e-01
7.607334821802472e-04,-7.211194e-03,3.150454e+00,-1.345549e-02,1.202657e-01
