Freq.,abs(V(vout)/V(vs))
1.00000000000000e+000,-2.38897548354932e+001
1.00029807510323e+000,-2.38867365610889e+001
1.00059623905524e+000,-2.38837185109098e+001
1.00089449188249e+000,-2.38807006848738e+001
1.00119283361148e+000,-2.38776830828993e+001
1.00149126426872e+000,-2.38746657049043e+001
1.00178978388071e+000,-2.38716485508071e+001
1.00208839247396e+000,-2.38686316205257e+001
1.00238709007499e+000,-2.38656149139786e+001
1.00268587671035e+000,-2.38625984310837e+001
1.00298475240656e+000,-2.38595821717595e+001
1.00328371719018e+000,-2.38565661359241e+001
1.00358277108775e+000,-2.38535503234958e+001
1.00388191412585e+000,-2.38505347343928e+001
1.00418114633104e+000,-2.38475193685335e+001
1.00448046772990e+000,-2.38445042258363e+001
1.00477987834901e+000,-2.38414893062192e+001
1.00507937821498e+000,-2.38384746096009e+001
1.00537896735440e+000,-2.38354601358995e+001
1.00567864579389e+000,-2.38324458850334e+001
1.00597841356005e+000,-2.38294318569211e+001
1.00627827067953e+000,-2.38264180514809e+001
1.00657821717894e+000,-2.38234044686311e+001
1.00687825308494e+000,-2.38203911082904e+001
1.00717837842418e+000,-2.38173779703770e+001
1.00747859322330e+000,-2.38143650548094e+001
1.00777889750898e+000,-2.38113523615061e+001
1.00807929130790e+000,-2.38083398903856e+001
1.00837977464672e+000,-2.38053276413663e+001
1.00868034755215e+000,-2.38023156143668e+001
1.00898101005088e+000,-2.37993038093056e+001
1.00928176216961e+000,-2.37962922261013e+001
1.00958260393506e+000,-2.37932808646723e+001
1.00988353537395e+000,-2.37902697249373e+001
1.01018455651301e+000,-2.37872588068148e+001
1.01048566737898e+000,-2.37842481102235e+001
1.01078686799861e+000,-2.37812376350819e+001
1.01108815839863e+000,-2.37782273813086e+001
1.01138953860583e+000,-2.37752173488224e+001
1.01169100864696e+000,-2.37722075375418e+001
1.01199256854880e+000,-2.37691979473856e+001
1.01229421833814e+000,-2.37661885782724e+001
1.01259595804178e+000,-2.37631794301210e+001
1.01289778768651e+000,-2.37601705028500e+001
1.01319970729914e+000,-2.37571617963781e+001
1.01350171690649e+000,-2.37541533106242e+001
1.01380381653539e+000,-2.37511450455069e+001
1.01410600621266e+000,-2.37481370009452e+001
1.01440828596515e+000,-2.37451291768576e+001
1.01471065581971e+000,-2.37421215731631e+001
1.01501311580320e+000,-2.37391141897805e+001
1.01531566594248e+000,-2.37361070266286e+001
1.01561830626442e+000,-2.37331000836263e+001
1.01592103679591e+000,-2.37300933606924e+001
1.01622385756383e+000,-2.37270868577458e+001
1.01652676859508e+000,-2.37240805747054e+001
1.01682976991657e+000,-2.37210745114901e+001
1.01713286155521e+000,-2.37180686680189e+001
1.01743604353792e+000,-2.37150630442107e+001
1.01773931589164e+000,-2.37120576399844e+001
1.01804267864329e+000,-2.37090524552591e+001
1.01834613181982e+000,-2.37060474899536e+001
1.01864967544819e+000,-2.37030427439871e+001
1.01895330955536e+000,-2.37000382172785e+001
1.01925703416830e+000,-2.36970339097468e+001
1.01956084931398e+000,-2.36940298213112e+001
1.01986475501939e+000,-2.36910259518907e+001
1.02016875131153e+000,-2.36880223014043e+001
1.02047283821740e+000,-2.36850188697712e+001
1.02077701576400e+000,-2.36820156569105e+001
1.02108128397835e+000,-2.36790126627413e+001
1.02138564288748e+000,-2.36760098871827e+001
1.02169009251843e+000,-2.36730073301539e+001
1.02199463289823e+000,-2.36700049915741e+001
1.02229926405394e+000,-2.36670028713625e+001
1.02260398601261e+000,-2.36640009694382e+001
1.02290879880131e+000,-2.36609992857205e+001
1.02321370244711e+000,-2.36579978201287e+001
1.02351869697710e+000,-2.36549965725819e+001
1.02382378241836e+000,-2.36519955429995e+001
1.02412895879800e+000,-2.36489947313007e+001
1.02443422614312e+000,-2.36459941374049e+001
1.02473958448083e+000,-2.36429937612313e+001
1.02504503383827e+000,-2.36399936026992e+001
1.02535057424255e+000,-2.36369936617281e+001
1.02565620572082e+000,-2.36339939382373e+001
1.02596192830022e+000,-2.36309944321462e+001
1.02626774200792e+000,-2.36279951433741e+001
1.02657364687106e+000,-2.36249960718405e+001
1.02687964291683e+000,-2.36219972174648e+001
1.02718573017240e+000,-2.36189985801664e+001
1.02749190866497e+000,-2.36160001598649e+001
1.02779817842171e+000,-2.36130019564796e+001
1.02810453946985e+000,-2.36100039699300e+001
1.02841099183659e+000,-2.36070062001358e+001
1.02871753554915e+000,-2.36040086470163e+001
1.02902417063476e+000,-2.36010113104912e+001
1.02933089712065e+000,-2.35980141904799e+001
1.02963771503407e+000,-2.35950172869021e+001
1.02994462440228e+000,-2.35920205996773e+001
1.03025162525252e+000,-2.35890241287252e+001
1.03055871761208e+000,-2.35860278739653e+001
1.03086590150822e+000,-2.35830318353173e+001
1.03117317696823e+000,-2.35800360127009e+001
1.03148054401941e+000,-2.35770404060357e+001
1.03178800268905e+000,-2.35740450152414e+001
1.03209555300447e+000,-2.35710498402377e+001
1.03240319499298e+000,-2.35680548809443e+001
1.03271092868191e+000,-2.35650601372809e+001
1.03301875409859e+000,-2.35620656091674e+001
1.03332667127036e+000,-2.35590712965234e+001
1.03363468022457e+000,-2.35560771992687e+001
1.03394278098859e+000,-2.35530833173232e+001
1.03425097358977e+000,-2.35500896506066e+001
1.03455925805549e+000,-2.35470961990388e+001
1.03486763441314e+000,-2.35441029625397e+001
1.03517610269010e+000,-2.35411099410290e+001
1.03548466291378e+000,-2.35381171344267e+001
1.03579331511158e+000,-2.35351245426527e+001
1.03610205931091e+000,-2.35321321656269e+001
1.03641089553920e+000,-2.35291400032691e+001
1.03671982382388e+000,-2.35261480554994e+001
1.03702884419239e+000,-2.35231563222378e+001
1.03733795667218e+000,-2.35201648034041e+001
1.03764716129071e+000,-2.35171734989185e+001
1.03795645807543e+000,-2.35141824087009e+001
1.03826584705382e+000,-2.35111915326712e+001
1.03857532825337e+000,-2.35082008707497e+001
1.03888490170156e+000,-2.35052104228563e+001
1.03919456742588e+000,-2.35022201889111e+001
1.03950432545385e+000,-2.34992301688343e+001
1.03981417581297e+000,-2.34962403625459e+001
1.04012411853077e+000,-2.34932507699660e+001
1.04043415363478e+000,-2.34902613910149e+001
1.04074428115253e+000,-2.34872722256126e+001
1.04105450111158e+000,-2.34842832736794e+001
1.04136481353947e+000,-2.34812945351354e+001
1.04167521846377e+000,-2.34783060099009e+001
1.04198571591205e+000,-2.34753176978961e+001
1.04229630591189e+000,-2.34723295990412e+001
1.04260698849088e+000,-2.34693417132565e+001
1.04291776367660e+000,-2.34663540404623e+001
1.04322863149668e+000,-2.34633665805789e+001
1.04353959197871e+000,-2.34603793335265e+001
1.04385064515032e+000,-2.34573922992256e+001
1.04416179103913e+000,-2.34544054775965e+001
1.04447302967279e+000,-2.34514188685595e+001
1.04478436107894e+000,-2.34484324720351e+001
1.04509578528522e+000,-2.34454462879435e+001
1.04540730231931e+000,-2.34424603162053e+001
1.04571891220887e+000,-2.34394745567409e+001
1.04603061498158e+000,-2.34364890094707e+001
1.04634241066513e+000,-2.34335036743153e+001
1.04665429928721e+000,-2.34305185511950e+001
1.04696628087552e+000,-2.34275336400304e+001
1.04727835545778e+000,-2.34245489407420e+001
1.04759052306170e+000,-2.34215644532503e+001
1.04790278371500e+000,-2.34185801774760e+001
1.04821513744544e+000,-2.34155961133395e+001
1.04852758428075e+000,-2.34126122607615e+001
1.04884012424868e+000,-2.34096286196625e+001
1.04915275737699e+000,-2.34066451899633e+001
1.04946548369345e+000,-2.34036619715843e+001
1.04977830322585e+000,-2.34006789644464e+001
1.05009121600195e+000,-2.33976961684701e+001
1.05040422204957e+000,-2.33947135835763e+001
1.05071732139650e+000,-2.33917312096854e+001
1.05103051407054e+000,-2.33887490467184e+001
1.05134380009953e+000,-2.33857670945959e+001
1.05165717951128e+000,-2.33827853532388e+001
1.05197065233363e+000,-2.33798038225677e+001
1.05228421859442e+000,-2.33768225025035e+001
1.05259787832151e+000,-2.33738413929670e+001
1.05291163154276e+000,-2.33708604938791e+001
1.05322547828603e+000,-2.33678798051605e+001
1.05353941857920e+000,-2.33648993267322e+001
1.05385345245015e+000,-2.33619190585151e+001
1.05416757992678e+000,-2.33589390004300e+001
1.05448180103700e+000,-2.33559591523978e+001
1.05479611580870e+000,-2.33529795143396e+001
1.05511052426981e+000,-2.33500000861763e+001
1.05542502644826e+000,-2.33470208678288e+001
1.05573962237197e+000,-2.33440418592181e+001
1.05605431206890e+000,-2.33410630602652e+001
1.05636909556699e+000,-2.33380844708912e+001
1.05668397289421e+000,-2.33351060910172e+001
1.05699894407852e+000,-2.33321279205641e+001
1.05731400914789e+000,-2.33291499594531e+001
1.05762916813032e+000,-2.33261722076052e+001
1.05794442105379e+000,-2.33231946649416e+001
1.05825976794632e+000,-2.33202173313835e+001
1.05857520883590e+000,-2.33172402068519e+001
1.05889074375055e+000,-2.33142632912680e+001
1.05920637271831e+000,-2.33112865845530e+001
1.05952209576720e+000,-2.33083100866282e+001
1.05983791292528e+000,-2.33053337974147e+001
1.06015382422059e+000,-2.33023577168338e+001
1.06046982968119e+000,-2.32993818448068e+001
1.06078592933515e+000,-2.32964061812549e+001
1.06110212321054e+000,-2.32934307260994e+001
1.06141841133546e+000,-2.32904554792617e+001
1.06173479373800e+000,-2.32874804406630e+001
1.06205127044625e+000,-2.32845056102248e+001
1.06236784148833e+000,-2.32815309878683e+001
1.06268450689235e+000,-2.32785565735151e+001
1.06300126668645e+000,-2.32755823670864e+001
1.06331812089876e+000,-2.32726083685037e+001
1.06363506955741e+000,-2.32696345776885e+001
1.06395211269058e+000,-2.32666609945622e+001
1.06426925032640e+000,-2.32636876190462e+001
1.06458648249306e+000,-2.32607144510622e+001
1.06490380921874e+000,-2.32577414905315e+001
1.06522123053160e+000,-2.32547687373758e+001
1.06553874645986e+000,-2.32517961915166e+001
1.06585635703172e+000,-2.32488238528754e+001
1.06617406227537e+000,-2.32458517213738e+001
1.06649186221905e+000,-2.32428797969335e+001
1.06680975689098e+000,-2.32399080794760e+001
1.06712774631940e+000,-2.32369365689230e+001
1.06744583053255e+000,-2.32339652651962e+001
